,Bound
2000,0
2001,1
2002,1
2003,1
2004,0
2005,0
2006,0
2007,1
2008,0
2009,1
2010,0
2011,0
2012,1
2013,0
2014,0
2015,0
2016,0
2017,1
2018,0
2019,1
2020,1
2021,0
2022,1
2023,1
2024,0
2025,1
2026,1
2027,0
2028,0
2029,1
2030,1
2031,1
2032,1
2033,0
2034,1
2035,1
2036,0
2037,1
2038,0
2039,0
2040,1
2041,0
2042,0
2043,0
2044,1
2045,1
2046,0
2047,0
2048,0
2049,0
2050,0
2051,0
2052,1
2053,0
2054,1
2055,1
2056,1
2057,0
2058,1
2059,0
2060,1
2061,0
2062,0
2063,0
2064,1
2065,1
2066,1
2067,1
2068,0
2069,0
2070,1
2071,0
2072,0
2073,1
2074,1
2075,1
2076,0
2077,0
2078,0
2079,0
2080,0
2081,0
2082,1
2083,1
2084,1
2085,1
2086,1
2087,1
2088,1
2089,0
2090,0
2091,0
2092,0
2093,1
2094,1
2095,1
2096,0
2097,1
2098,1
2099,1
2100,1
2101,0
2102,0
2103,1
2104,1
2105,0
2106,0
2107,0
2108,0
2109,1
2110,0
2111,0
2112,0
2113,0
2114,1
2115,0
2116,0
2117,1
2118,1
2119,0
2120,0
2121,1
2122,0
2123,0
2124,1
2125,0
2126,0
2127,0
2128,1
2129,0
2130,0
2131,0
2132,1
2133,0
2134,1
2135,1
2136,1
2137,1
2138,1
2139,1
2140,1
2141,1
2142,0
2143,1
2144,0
2145,1
2146,0
2147,0
2148,1
2149,0
2150,1
2151,1
2152,0
2153,1
2154,0
2155,0
2156,1
2157,1
2158,1
2159,0
2160,0
2161,0
2162,0
2163,1
2164,0
2165,0
2166,1
2167,0
2168,1
2169,1
2170,1
2171,1
2172,1
2173,1
2174,1
2175,1
2176,1
2177,0
2178,1
2179,0
2180,0
2181,0
2182,1
2183,0
2184,0
2185,1
2186,1
2187,1
2188,0
2189,0
2190,1
2191,0
2192,0
2193,0
2194,0
2195,1
2196,0
2197,0
2198,1
2199,0
2200,0
2201,1
2202,0
2203,0
2204,1
2205,1
2206,0
2207,1
2208,0
2209,1
2210,0
2211,1
2212,1
2213,1
2214,1
2215,0
2216,1
2217,0
2218,1
2219,0
2220,0
2221,1
2222,1
2223,1
2224,0
2225,0
2226,1
2227,0
2228,0
2229,1
2230,1
2231,0
2232,0
2233,1
2234,1
2235,0
2236,0
2237,0
2238,1
2239,1
2240,0
2241,0
2242,1
2243,1
2244,0
2245,0
2246,1
