,Bound
0,0
1,0
2,1
3,1
4,0
5,1
6,1
7,1
8,0
9,1
10,1
11,1
12,1
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,1
22,1
23,1
24,1
25,1
26,1
27,0
28,1
29,1
30,0
31,0
32,1
33,0
34,0
35,1
36,1
37,0
38,1
39,1
40,1
41,0
42,1
43,0
44,1
45,1
46,1
47,0
48,0
49,0
50,0
51,1
52,1
53,0
54,1
55,0
56,0
57,0
58,0
59,0
60,1
61,0
62,0
63,0
64,1
65,1
66,1
67,0
68,1
69,1
70,1
71,1
72,1
73,0
74,1
75,0
76,1
77,1
78,1
79,1
80,0
81,1
82,0
83,0
84,1
85,0
86,0
87,1
88,0
89,1
90,1
91,0
92,1
93,1
94,1
95,0
96,0
97,1
98,1
99,1
100,1
101,1
102,0
103,0
104,1
105,1
106,1
107,0
108,0
109,0
110,1
111,0
112,0
113,1
114,0
115,0
116,1
117,0
118,0
119,1
120,0
121,0
122,1
123,0
124,1
125,1
126,0
127,0
128,0
129,1
130,1
131,0
132,0
133,0
134,1
135,1
136,1
137,1
138,1
139,1
140,0
141,1
142,1
143,0
144,1
145,1
146,0
147,0
148,1
149,1
150,1
151,0
152,1
153,0
154,1
155,1
156,0
157,0
158,0
159,1
160,0
161,1
162,0
163,0
164,1
165,0
166,1
167,0
168,1
169,1
170,0
171,0
172,1
173,1
174,0
175,1
176,1
177,0
178,1
179,1
180,0
181,1
182,1
183,0
184,0
185,0
186,0
187,0
188,1
189,0
190,0
191,1
192,1
193,0
194,1
195,0
196,1
197,1
198,1
199,0
200,1
201,1
202,0
203,0
204,1
205,1
206,1
207,0
208,1
209,1
210,1
211,0
212,0
213,0
214,0
215,1
216,0
217,1
218,1
219,1
220,0
221,0
222,1
223,0
224,0
225,1
226,1
227,1
228,0
229,0
230,1
231,1
232,0
233,0
234,0
235,0
236,0
237,0
238,1
239,1
240,1
241,0
242,1
243,0
244,0
245,1
246,0
247,0
248,1
249,1
250,1
251,0
252,1
253,1
254,1
255,0
256,1
257,1
258,1
259,1
260,1
261,0
262,1
263,1
264,1
265,0
266,1
267,0
268,1
269,0
270,0
271,1
272,0
273,1
274,0
275,0
276,0
277,0
278,1
279,0
280,0
281,0
282,1
283,1
284,1
285,1
286,0
287,1
288,0
289,1
290,0
291,1
292,1
293,1
294,1
295,0
296,1
297,1
298,0
299,1
300,0
301,1
302,0
303,0
304,1
305,1
306,1
307,0
308,1
309,0
310,0
311,1
312,0
313,0
314,1
315,1
316,0
317,1
318,1
319,1
320,0
321,0
322,1
323,1
324,0
325,0
326,1
327,0
328,0
329,1
330,1
331,1
332,1
333,1
334,0
335,0
336,0
337,0
338,1
339,1
340,1
341,1
342,1
343,0
344,0
345,1
346,0
347,1
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,1
356,1
357,0
358,0
359,1
360,0
361,1
362,1
363,0
364,0
365,0
366,1
367,0
368,0
369,1
370,0
371,1
372,0
373,0
374,1
375,0
376,1
377,0
378,1
379,0
380,1
381,1
382,0
383,0
384,0
385,1
386,1
387,1
388,0
389,1
390,1
391,0
392,1
393,0
394,1
395,0
396,1
397,0
398,1
399,1
400,1
401,1
402,1
403,0
404,1
405,1
406,1
407,0
408,0
409,1
410,0
411,1
412,1
413,0
414,0
415,0
416,1
417,1
418,0
419,1
420,1
421,1
422,0
423,1
424,0
425,1
426,1
427,1
428,1
429,0
430,1
431,0
432,1
433,1
434,1
435,0
436,1
437,0
438,1
439,0
440,0
441,1
442,1
443,1
444,0
445,1
446,0
447,0
448,0
449,0
450,0
451,1
452,0
453,1
454,0
455,0
456,1
457,1
458,1
459,0
460,0
461,1
462,0
463,1
464,1
465,1
466,0
467,1
468,1
469,1
470,0
471,1
472,0
473,0
474,1
475,1
476,1
477,0
478,0
479,1
480,0
481,0
482,1
483,1
484,0
485,0
486,1
487,0
488,1
489,0
490,1
491,0
492,0
493,0
494,0
495,0
496,1
497,1
498,0
499,1
500,1
501,1
502,0
503,0
504,1
505,0
506,1
507,0
508,1
509,1
510,0
511,0
512,1
513,1
514,0
515,0
516,0
517,0
518,1
519,1
520,0
521,1
522,1
523,0
524,0
525,0
526,0
527,0
528,0
529,1
530,1
531,0
532,1
